index,stack,particle,frame,label
5993,C04_s1,2161,24,mitotic
5310,C03_s2,4846,141,dead
1142,A04_s1,263,118,interphase
80,A03_s1,316,38,dead
6745,E03_s1,4,132,mitotic
483,A03_s1,2284,33,dead
3115,B03_s1,4180,78,mitotic
313,A03_s1,1195,129,mitotic
1631,A04_s1,1436,86,mitotic
5913,C04_s1,1676,116,mitotic
3128,B03_s1,4216,68,mitotic
4555,C03_s2,2048,24,mitotic
1363,A04_s1,675,29,interphase
969,A04_s1,71,44,mitotic
5684,C04_s1,500,0,dead
5905,C04_s1,1658,85,dead
5914,C04_s1,1684,16,dead
6394,C04_s1,4898,92,dead
3324,B03_s1,5164,90,dead
8181,E03_s4,7044,98,mitotic
1427,A04_s1,862,131,mitotic
8304,E03_s4,7917,128,dead
8372,E03_s4,8494,118,unclear
2203,A04_s1,3583,125,mitotic
3641,B03_s1,7442,132,dead
7096,E03_s1,1103,67,mitotic
8478,E03_s4,9342,131,unclear
3515,B03_s1,6372,124,mitotic
6643,C04_s1,6850,114,dead
194,A03_s1,621,0,dead
3563,B03_s1,6706,133,dead
5954,C04_s1,1850,118,mitotic
500,A03_s1,2402,39,dead
804,A03_s1,5675,116,dead
302,A03_s1,1117,20,dead
7651,E03_s4,2855,59,dead
5782,C04_s1,1033,62,dead
8180,E03_s4,7043,130,unclear
4703,C03_s2,2681,71,mitotic
8042,E03_s4,6146,79,dead
3404,B03_s1,5673,136,dead
1202,A04_s1,348,69,mitotic
7257,E03_s1,2941,94,mitotic
2584,B03_s1,1194,101,mitotic
5114,C03_s2,4123,90,mitotic
5218,C03_s2,4494,101,mitotic
4170,C03_s2,393,97,mitotic
7494,E03_s4,1542,13,dead
6594,C04_s1,6380,105,dead
8309,E03_s4,7986,115,dead
6685,C04_s1,7214,122,dead
5269,C03_s2,4729,111,mitotic
2888,B03_s1,2942,46,unclear
4372,C03_s2,1131,73,mitotic
4964,C03_s2,3581,142,mitotic
2606,B03_s1,1336,126,mitotic
268,A03_s1,883,45,dead
7474,E03_s4,1420,34,unclear
3841,B04_s1,1179,45,dead
1214,A04_s1,371,90,mitotic
3279,B03_s1,4906,92,mitotic
7068,E03_s1,915,42,mitotic
2812,B03_s1,2449,48,mitotic
6888,E03_s1,183,120,mitotic
4999,C03_s2,3728,115,dead
6572,C04_s1,6166,106,dead
2209,A04_s1,3688,137,mitotic
4450,C03_s2,1567,33,dead
2161,A04_s1,3350,128,dead
8206,E03_s4,7243,117,mitotic
4649,C03_s2,2455,35,dead
7067,E03_s1,907,103,mitotic
2208,A04_s1,3673,123,dead
5328,C03_s2,4923,133,mitotic
2672,B03_s1,1596,81,mitotic
2797,B03_s1,2334,77,mitotic
5130,C03_s2,4207,82,dead
6843,E03_s1,99,17,mitotic
5025,C03_s2,3840,67,dead
6239,C04_s1,3690,116,mitotic
2403,B03_s1,394,12,mitotic
787,A03_s1,5483,122,dead
1676,A04_s1,1586,123,mitotic
2534,B03_s1,1017,98,mitotic
7387,E03_s4,590,4,dead
7394,E03_s4,694,4,dead
3015,B03_s1,3623,136,dead
3773,B04_s1,487,1,dead
6608,C04_s1,6502,108,dead
3327,B03_s1,5191,87,mitotic
8204,E03_s4,7237,99,mitotic
3682,B04_s1,84,135,mitotic
1,A03_s1,13,46,dead
3934,B04_s1,2645,125,dead
164,A03_s1,568,0,dead
3207,B03_s1,4585,144,dead
7917,E03_s4,5340,111,dead
2146,A04_s1,3247,107,dead
6945,E03_s1,352,18,mitotic
4282,C03_s2,770,10,dead
90,A03_s1,352,32,dead
151,A03_s1,526,84,dead
5896,C04_s1,1612,32,dead
4934,C03_s2,3451,74,dead
3883,B04_s1,1753,94,dead
1972,A04_s1,2614,86,mitotic
3323,B03_s1,5161,99,mitotic
3529,B03_s1,6483,131,mitotic
4821,C03_s2,3055,81,mitotic
358,A03_s1,1463,22,dead
148,A03_s1,525,10,dead
6838,E03_s1,92,9,mitotic
6560,C04_s1,6073,108,dead
7197,E03_s1,2001,54,mitotic
5966,C04_s1,1943,30,mitotic
2540,B03_s1,1046,27,mitotic
1656,A04_s1,1516,115,mitotic
5212,C03_s2,4468,87,dead
3728,B04_s1,281,23,dead
1669,A04_s1,1548,33,dead
4604,C03_s2,2271,92,mitotic
7007,E03_s1,560,28,mitotic
6697,C04_s1,7388,129,dead
5157,C03_s2,4270,102,mitotic
3760,B04_s1,442,4,interphase
7589,E03_s4,2313,128,dead
