index,stack,particle,frame,label
3022,F12_s1,7591,449,dead
117,A12_s2,1205,78,dead
560,B12_s1,208,0,dead
2939,F12_s1,6309,351,mitotic
1258,C12_s4,263,136,mitotic
2951,F12_s1,3942,370,mitotic
2761,F12_s1,1253,78,mitotic
1156,C12_s4,208,58,dead
2075,D12_s10,5114,390,dead
1539,C12_s4,350,351,dead
2094,D12_s10,2071,409,mitotic
635,B12_s1,850,78,mitotic
498,A12_s2,2955,390,mitotic
3242,G12_s2,2829,312,mitotic
1432,C12_s4,729,273,dead
412,A12_s2,375,312,mitotic
1772,D12_s10,25,136,dead
1053,B12_s1,352,409,dead
3246,G12_s2,2553,312,dead
1002,B12_s1,877,351,dead
1423,C12_s4,328,253,mitotic
1469,C12_s4,4125,292,dead
1048,B12_s1,1647,390,mitotic
1574,C12_s4,398,390,dead
1521,C12_s4,279,351,mitotic
3007,F12_s1,4263,429,mitotic
1259,C12_s4,155,136,mitotic
2062,D12_s10,463,370,mitotic
2925,F12_s1,5925,331,mitotic
1877,D12_s10,164,214,dead
1224,C12_s4,21,117,dead
1672,D12_s10,383,19,dead
2184,E12_s10,332,39,mitotic
267,A12_s2,696,195,mitotic
319,A12_s2,22,234,mitotic
2872,F12_s1,2757,234,mitotic
2329,E12_s10,1604,156,mitotic
1434,C12_s4,4054,273,dead
184,A12_s2,275,136,mitotic
1149,C12_s4,79,58,mitotic
2508,E12_s10,315,292,dead
2465,E12_s10,296,253,mitotic
2381,E12_s10,362,195,mitotic
2099,D12_s10,226,409,dead
1374,C12_s4,2459,234,mitotic
1452,C12_s4,1690,292,mitotic
2182,E12_s10,437,39,mitotic
77,A12_s2,656,58,mitotic
567,B12_s1,484,0,mitotic
1373,C12_s4,372,234,mitotic
2882,F12_s1,4453,253,dead
1683,D12_s10,815,39,dead
713,B12_s1,1729,136,mitotic
1486,C12_s4,4414,312,dead
1088,B12_s1,4954,429,mitotic
2977,F12_s1,5582,390,mitotic
1976,D12_s10,194,292,mitotic
191,A12_s2,251,136,dead
1749,D12_s10,63,117,mitotic
1230,C12_s4,2113,117,mitotic
212,A12_s2,383,156,mitotic
484,A12_s2,3978,370,dead
2090,D12_s10,213,409,mitotic
683,B12_s1,872,117,dead
1439,C12_s4,424,273,mitotic
1766,D12_s10,1102,117,unclear
2067,D12_s10,4654,370,dead
1661,D12_s10,107,0,dead
1952,D12_s10,2615,273,dead
1679,D12_s10,306,39,dead
1291,C12_s4,2621,156,mitotic
2308,E12_s10,18,136,mitotic
2183,E12_s10,1026,39,dead
981,B12_s1,3117,331,dead
1885,D12_s10,247,234,mitotic
2936,F12_s1,6197,351,dead
129,A12_s2,360,97,mitotic
2021,D12_s10,2658,331,mitotic
611,B12_s1,33,58,mitotic
1087,B12_s1,4803,429,dead
2108,D12_s10,1948,429,mitotic
836,B12_s1,543,214,mitotic
2912,F12_s1,4839,312,mitotic
3112,G12_s2,65,136,mitotic
648,B12_s1,318,78,mitotic
930,B12_s1,2704,292,dead
2302,E12_s10,1444,136,mitotic
1677,D12_s10,92,39,unclear
205,A12_s2,267,156,mitotic
728,B12_s1,97,136,mitotic
2043,D12_s10,186,351,dead
1878,D12_s10,42,214,dead
680,B12_s1,1773,117,dead
781,B12_s1,76,175,mitotic
1404,C12_s4,451,253,dead
1052,B12_s1,4357,409,unclear
2488,E12_s10,3347,273,dead
1284,C12_s4,731,156,mitotic
3136,G12_s2,747,156,mitotic
1338,C12_s4,2951,195,mitotic
1669,D12_s10,125,19,dead
736,B12_s1,244,136,dead
